WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Senneterre,CA,48.3835,-77.2328,63.95,68,100,9.71,overcast clouds
169,Puerto Ayora,EC,-0.7393,-90.3518,73.36,93,78,7.0,broken clouds
170,Hithadhoo,MV,-0.6,73.0833,82.74,74,94,17.4,overcast clouds
171,Bairiki,KI,1.3292,172.9752,80.6,74,20,14.97,few clouds
172,Cherskiy,RU,68.75,161.3,22.59,79,100,6.8,overcast clouds
173,Qaanaaq,GL,77.484,-69.3632,9.07,73,92,7.49,overcast clouds
174,East London,ZA,-33.0153,27.9116,65.34,88,0,12.66,clear sky
175,Oranjemund,NA,-28.55,16.4333,57.4,81,99,16.73,overcast clouds
176,Puerto Lempira,HN,15.2667,-83.7667,79.74,85,100,9.01,overcast clouds
177,Pecos,US,31.4229,-103.4932,75.29,46,40,3.44,scattered clouds
178,Dunedin,NZ,-45.8742,170.5036,34.16,86,96,20.11,light snow
179,Puerto Escondido,MX,15.85,-97.0667,85.01,60,55,4.63,broken clouds
180,Boende,CD,-0.2167,20.8667,70.61,98,94,5.32,moderate rain
181,Sale,MA,34.0389,-6.8166,75.88,73,40,6.91,scattered clouds
182,Bingol,TR,38.8847,40.4939,70.7,26,100,4.5,overcast clouds
183,Ambilobe,MG,-13.2,49.05,72.64,76,5,2.17,clear sky
184,Tikrit,IQ,34.6071,43.6782,91.71,10,1,6.89,clear sky
185,Morro Bay,US,35.3658,-120.8499,65.14,1,0,1.01,clear sky
186,Monrovia,LR,6.3005,-10.7969,82.17,79,100,7.61,overcast clouds
187,Tucurui,BR,-3.7661,-49.6725,103.37,23,2,3.94,clear sky
188,Ndele,CF,8.4109,20.6473,73.76,93,100,3.51,overcast clouds
189,Kavaratti,IN,10.5669,72.642,81.68,76,95,15.01,overcast clouds
190,Fukue,JP,32.6881,128.8419,70.97,67,91,16.06,moderate rain
191,El Vigia,VE,8.6219,-71.6506,90.07,56,100,5.64,overcast clouds
192,Srimushnam,IN,11.4,79.4167,77.04,86,96,3.56,overcast clouds
193,Flinders,AU,-34.5833,150.8552,58.37,90,100,4.0,heavy intensity rain
194,Isangel,VU,-19.55,169.2667,70.92,75,28,8.12,scattered clouds
195,Padang,ID,-0.9492,100.3543,77.05,88,92,5.03,overcast clouds
196,Markdale,CA,44.3168,-80.6497,71.46,46,45,6.35,scattered clouds
197,Cockburn Town,TC,21.4612,-71.1419,84.16,74,75,5.75,broken clouds
198,Dakar,SN,14.6937,-17.4441,89.73,70,0,13.8,clear sky
199,Kahului,US,20.8947,-156.47,77.85,77,75,5.75,broken clouds
200,Margate,GB,51.3813,1.3862,62.91,70,91,7.0,overcast clouds
201,Banda Aceh,ID,5.5577,95.3222,77.14,86,100,11.14,moderate rain
202,Miramar,US,25.9873,-80.2323,87.03,62,20,10.36,few clouds
203,Ayr,GB,55.4627,-4.6339,53.58,66,40,18.41,moderate rain
204,Bitola,MK,41.0311,21.3403,53.64,51,85,3.0,overcast clouds
205,Broken Hill,AU,-31.95,141.4333,63.39,56,1,4.45,clear sky
206,Adrar,MR,20.5022,-10.0711,103.75,9,5,14.18,clear sky
207,Krasnyy Chikoy,RU,50.3643,108.7512,24.49,78,9,2.39,clear sky
208,Victoria,HK,22.2855,114.1577,84.38,77,11,11.99,few clouds
209,Iqaluit,CA,63.7506,-68.5145,33.53,93,100,4.61,light snow
210,Tautira,PF,-17.7333,-149.15,76.46,71,52,24.25,light rain
211,Thinadhoo,MV,0.5333,72.9333,81.86,76,99,17.56,overcast clouds
212,Cururupu,BR,-1.8283,-44.8683,87.28,57,42,8.12,scattered clouds
213,Tasiilaq,GL,65.6145,-37.6368,35.76,65,42,3.27,scattered clouds
214,Katsuura,JP,35.1333,140.3,60.82,90,100,22.57,light rain
215,Plainview,US,40.7765,-73.4673,61.81,86,100,13.8,overcast clouds
216,Aljezur,PT,37.3191,-8.8033,74.28,53,0,8.61,clear sky
217,Yulara,AU,-25.2406,130.9889,68.77,29,0,9.22,clear sky
218,Carnarvon,AU,-24.8667,113.6333,64.49,59,17,22.75,few clouds
219,Mafinga,TZ,-7.25,35.0667,79.63,27,6,12.17,clear sky
220,Inta,RU,66.0317,60.1659,43.9,84,100,8.72,overcast clouds
221,Salalah,OM,17.0151,54.0924,77.79,82,59,1.61,broken clouds
222,Kasongo-Lunda,CD,-6.4667,16.8167,73.13,89,77,2.01,broken clouds
223,College,US,64.8569,-147.8028,37.9,87,75,3.44,broken clouds
224,Miles City,US,46.4083,-105.8406,54.57,82,0,5.75,clear sky
225,Mahebourg,MU,-20.4081,57.7,72.25,73,40,8.05,scattered clouds
226,Den Helder,NL,52.9599,4.7593,64.38,81,100,37.0,overcast clouds
227,Port Blair,IN,11.6667,92.75,77.04,94,75,2.3,drizzle
228,Tuatapere,NZ,-46.1333,167.6833,36.03,80,100,16.11,overcast clouds
